,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A004000A015a,"메밀, 도정, 가루",374 ,10.5 ,12.96 ,3.29 ,1.89 ,71.36 ,0.37 ,8.5 ,11830 ,5442 ,6388 ,3.15 ,1.22 ,0.70 ,1.22 ,1.23 ,0 ,0 ,0 ,농진청('14),7,A004000A015a,"메밀, 도정, 가루",17 ,2.92 ,227 ,435 ,432 ,1 ,2.99 ,0.522 ,1.478 ,2.67 ,28.46 ,3.26 ,0 ,9 ,0 ,5.37 ,3.42 ,0.341 ,0.274 ,1.724,3.368 ,0.143 ,0 ,26 ,0 ,0 ,농진청('14)
,,"Buckwheat, Polished, Powder",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat, Polished, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A0050000000a,"메밀 국수, 생것",291 ,28.8 ,7.59 ,0.96 ,1.51 ,61.14 ,0 ,1.9 ,7232 ,2296 ,4936 ,0.92 ,0.54 ,0.27 ,0.11 ,0.54 ,0 ,1.2 ,0 ,농진청('14),8,A0050000000a,"메밀 국수, 생것",13 ,0.59 ,21 ,64 ,116 ,455 ,0.30 ,0.074 ,0.442 ,6.13 ,5.71 ,3.67 ,0 ,0 ,0 ,0.53 ,0 ,0.015 ,0.050 ,0.998,0.650 ,0.016 ,0 ,20 ,0 ,0 ,농진청('14)
,,"Buckwheat noodle, Wet noodle",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Wet noodle",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A0050000000b,"메밀 국수, 생것, 삶은것",124 ,70.1 ,3.54 ,0.44 ,0.19 ,25.73 ,0 ,1.7 ,3313 ,1101 ,2212 ,0.42 ,0.24 ,0.13 ,0.05 ,0.24 ,0 ,0.1 ,0 ,농진청('14),9,A0050000000b,"메밀 국수, 생것, 삶은것",7 ,0.28 ,4 ,21 ,7 ,38 ,0.21 ,0.030 ,0.145 ,2.90 ,2.21 ,1.40 ,0 ,6 ,0 ,0.35 ,0 ,0.009 ,0.018 ,0.149,0.215 ,0.002 ,0 ,0 ,0 ,0 ,농진청('14)
,,"Buckwheat noodle, Wet noodle, Boiled",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Wet noodle, Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A0050000001a,"메밀 국수, 말린것",372 ,8.3 ,13.58 ,1.27 ,2.44 ,74.41 ,2.77 ,4.6 ,12792 ,4200 ,8592 ,1.22 ,0.61 ,0.38 ,0.23 ,0.61 ,0 ,1.8 ,0 ,농진청('14),10,A0050000001a,"메밀 국수, 말린것",28 ,2.54 ,83 ,173 ,198 ,707 ,1.64 ,0.360 ,1.388 ,7.03 ,21.38 ,0.95 ,0 ,0 ,0 ,0.14 ,0 ,0.119 ,0.120 ,1.475,0.329 ,0.001 ,0 ,15 ,0 ,1.07 ,농진청('14)
,,"Buckwheat noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A0050000001b,"메밀 국수, 말린것, 삶은것",114 ,72.4 ,4.28 ,0.40 ,0.27 ,22.65 ,0 ,1.5 ,3993 ,1325 ,2668 ,0.38 ,0.19 ,0.12 ,0.07 ,0.19 ,0 ,0.1 ,0 ,농진청('14),11,A0050000001b,"메밀 국수, 말린것, 삶은것",12 ,0.87 ,21 ,47 ,9 ,35 ,0.50 ,0.056 ,0.464 ,2.66 ,4.98 ,0 ,0 ,0 ,0 ,0.06 ,0 ,0.021 ,0.026 ,0.246,0 ,0 ,0 ,4 ,0 ,0.18 ,농진청('14)
,,"Buckwheat noodle, Dry noodle, Boiled, Cooked",,,,,,,,,,,,,,,,,,,,,,,"Buckwheat noodle, Dry noodle, Boiled, Cooked",,,,,,,,,,,,,,,,,,,,,,,,,,,
