,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Starches, East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), powder",,,,,,,,,,,,,,,,,,,,,,,"Starches, East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
357,B0150000000a,"천마, 생것",77 ,79.9 ,0.9 ,0 ,0.7 ,18.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,17 ,농진청('08),357,B0150000000a,"천마, 생것",16 ,0.9 ,-,21 ,332 ,8 ,-,-,-,-,-,-,0 ,2 ,-,-,-,0.10 ,0.05 ,0.6,-,-,-,-,-,92 ,농진청('08)
,,"Cheonma(Gastrodia elata Blume), Raw",,,,,,,,,,,,,,,,,,,,,,,"Cheonma(Gastrodia elata Blume), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
358,B0150000009e,"천마, 찐것",81 ,78.7 ,1.1 ,0 ,0.9 ,19.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,15 ,농진청('08),358,B0150000009e,"천마, 찐것",16 ,0.5 ,-,34 ,353 ,7 ,-,-,-,-,-,-,0 ,5 ,-,-,-,0.11 ,0.04 ,0.5,-,-,-,-,-,96 ,농진청('08)
,,"Cheonma(Gastrodia elata Blume), Steamed",,,,,,,,,,,,,,,,,,,,,,,"Cheonma(Gastrodia elata Blume), Steamed",,,,,,,,,,,,,,,,,,,,,,,,,,,
359,B0160000000a,"칡뿌리, 생것",137 ,63.7 ,2.48 ,0.10 ,1.67 ,32.05 ,4.13 ,4.4 ,1112 ,590 ,522 ,0.10 ,0.05 ,0.04 ,0.01 ,0.05 ,0 ,0 ,17 ,농진청('16),359,B0160000000a,"칡뿌리, 생것",383 ,2.00 ,242 ,61 ,243 ,0 ,0.43 ,0.080 ,0.286 ,3.22 ,0.63 ,0.77 ,0 ,18 ,0 ,0.39 ,0 ,0.152 ,0.020 ,1.321 ,0.272 ,0.015 ,0 ,69 ,0 ,4.66 ,농진청('16)
,,"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Raw",,,,,,,,,,,,,,,,,,,,,,,"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
360,B0190000009a,칡즙,21 ,94.4 ,0.44 ,0 ,0.25 ,4.91 ,1.61 ,0.4 ,101 ,38 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('16),360,B0190000009a,칡즙,44 ,0.07 ,39 ,11 ,57 ,3 ,0.09 ,0.002 ,0.105 ,0.34 ,0.14 ,0 ,0 ,0 ,0 ,0.06 ,0 ,0.124 ,0.009 ,0.983 ,0 ,0.011 ,0 ,0 ,0 ,0 ,농진청('16)
,,"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Juice",,,,,,,,,,,,,,,,,,,,,,,"East Asian arrowroot(Pueraria lobata (Willd.) Ohwi), Juice",,,,,,,,,,,,,,,,,,,,,,,,,,,
361,B0170000000a,"토란, 생것",71 ,80.8 ,2.08 ,0.14 ,1.21 ,15.77 ,0 ,2.8 ,1840 ,820 ,1020 ,0.15 ,0.08 ,0.05 ,0.02 ,0.08 ,0 ,0 ,12 ,농진청('13),361,B0170000000a,"토란, 생것",11 ,0.59 ,18 ,55 ,520 ,2 ,0.32 ,0.141 ,0.598 ,0.81 ,2.40 ,0 ,0 ,10 ,0 ,0.49 ,0 ,0.081 ,0.022 ,0.630,0 ,0.015 ,0 ,37 ,0 ,1.21 ,농진청('13)
,,"Taro(Colocasia esculenta (L.) Schott), Raw",,,,,,,,,,,,,,,,,,,,,,,"Taro(Colocasia esculenta (L.) Schott), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
362,B0170000009b,"토란, 삶은것",73 ,80.3 ,2.17 ,0.18 ,1.07 ,16.28 ,0.46 ,3.0 ,1988 ,881 ,1107 ,0.17 ,0.10 ,0.05 ,0.02 ,0.10 ,0 ,0 ,-,농진청('13),362,B0170000009b,"토란, 삶은것",18 ,0.77 ,19 ,55 ,489 ,2 ,0.43 ,0.117 ,0.775 ,0.68 ,2.76 ,0 ,0 ,12 ,0 ,1.59 ,0 ,0.067 ,0.028 ,0.305,0.217 ,0.002 ,0 ,46 ,0 ,4.72 ,농진청('13)
,,"Taro(Colocasia esculenta (L.) Schott), Boiled",,,,,,,,,,,,,,,,,,,,,,,"Taro(Colocasia esculenta (L.) Schott), Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
363,B0170000009e,"토란, 찐것",76 ,79.5 ,2.40 ,0.17 ,1.18 ,16.75 ,0 ,2.9 ,2285 ,1031 ,1254 ,0.16 ,0.09 ,0.05 ,0.02 ,0.09 ,0 ,0 ,-,농진청('13),363,B0170000009e,"토란, 찐것",19 ,0.81 ,19 ,56 ,368 ,2 ,0.42 ,0.133 ,0.700 ,0.60 ,2.94 ,0 ,0 ,17 ,0 ,0.59 ,0 ,0.073 ,0.024 ,0.301,0.160 ,0.001 ,0 ,57 ,0 ,6.44 ,농진청('13)
,,"Taro(Colocasia esculenta (L.) Schott), Steamed",,,,,,,,,,,,,,,,,,,,,,,"Taro(Colocasia esculenta (L.) Schott), Steamed",,,,,,,,,,,,,,,,,,,,,,,,,,,
364,B0200000000a,"히카마(얌빈), 생것",44 ,88.5 ,0.68 ,0.06 ,0.40 ,10.36 ,4.59 ,0.7 ,456 ,141 ,315 ,0.05 ,0.03 ,0.02 ,0 ,0.03 ,0 ,0 ,6 ,농진청('14),364,B0200000000a,"히카마(얌빈), 생것",13 ,0.23 ,10 ,30 ,181 ,1 ,0.24 ,0.113 ,0.094 ,0 ,1.96 ,0 ,0 ,0 ,0 ,0.01 ,0 ,0.027 ,0.110 ,0.431,0 ,0.024 ,0 ,15 ,0 ,3.37 ,농진청('14)
,,"Jicama(Pachyrhizus erosus), Raw",,,,,,,,,,,,,,,,,,,,,,,"Jicama(Pachyrhizus erosus), Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
365,B0200000009b,"히카마(얌빈), 삶은것",45 ,88.5 ,0.39 ,0.06 ,0.39 ,10.66 ,2.93 ,1.4 ,356 ,114 ,242 ,0.06 ,0.03 ,0.03 ,0 ,0.03 ,0 ,0 ,-,농진청('14),365,B0200000009b,"히카마(얌빈), 삶은것",13 ,0.15 ,8 ,28 ,165 ,0 ,0.16 ,0.021 ,0.078 ,0.39 ,1.77 ,0 ,0 ,0 ,0 ,0.04 ,0 ,0.014 ,0.103 ,0.215,0 ,0 ,0 ,28 ,0 ,19.44 ,농진청('14)
,,"Jicama(Pachyrhizus erosus), Boiled",,,,,,,,,,,,,,,,,,,,,,,"Jicama(Pachyrhizus erosus), Boiled",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,C0010000009a,과당,368 ,0.1 ,(0),(0),0,99.9 ,99.9 ,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),366,C0010000009a,과당,Tr,Tr,Tr,0,Tr,Tr,0,Tr,0,-,-,-,(0),-,(0),0 ,(0),(0),(0),(0),(0),(0),-,(0),(0),(0),JAPAN('15)
,,Fructose,,,,,,,,,,,,,,,,,,,,,,,Fructose,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,C0020010009a,"껌, 츄잉껌",388 ,3.1 ,0,0,Tr,96.9 ,-,0,-,-,-,-,-,-,-,-,0,0,20 ,JAPAN('15),367,C0020010009a,"껌, 츄잉껌",3 ,0.1 ,-,Tr,3 ,3 ,-,-,-,-,-,-,0,-,(0),-,-,0,0,0,-,-,-,-,-,0,JAPAN('15)
,,"Gum, Chewing gum",,,,,,,,,,,,,,,,,,,,,,,"Gum, Chewing gum",,,,,,,,,,,,,,,,,,,,,,,,,,,
368,C0020020009a,"껌, 풍선껌",387 ,3.3 ,0,0,Tr,96.7 ,-,0,-,-,-,-,-,-,-,-,0,0,25 ,JAPAN('15),368,C0020020009a,"껌, 풍선껌",3 ,0.1 ,-,Tr,4 ,3 ,-,-,-,-,-,-,0,-,(0),-,-,0,0,0,-,-,-,-,-,0,JAPAN('15)
,,"Gum, Bubble gum",,,,,,,,,,,,,,,,,,,,,,,"Gum, Bubble gum",,,,,,,,,,,,,,,,,,,,,,,,,,,
369,C0020030009a,"껌, 무설탕",268 ,3.50 ,0 ,0.40 ,1.30 ,94.80 ,0 ,2.4 ,-,-,-,0.383 ,-,0.058 ,0.093 ,0.232 ,0 ,0 ,-,USDA('15),369,C0020030009a,"껌, 무설탕",20 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,-,0.5 ,-,-,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,-,0 ,-,0 ,0 ,0 ,USDA('15)
,,"Chewing Gum, Sugar free",,,,,,,,,,,,,,,,,,,,,,,"Chewing Gum, Sugar free",,,,,,,,,,,,,,,,,,,,,,,,,,,
370,C0030000009a,꿀,294 ,20.0,0.2 ,0,0.1 ,79.7 ,72.6 ,(0),141 ,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),370,C0030000009a,꿀,1 ,1.0,1 ,4 ,18 ,6 ,1.0,0.05 ,-,0,0,0,0,-,(0),0 ,(0),Tr,0.01 ,0.1,0.05 ,-,0.5 ,1 ,(0),0,JAPAN('15)
,,Honey,,,,,,,,,,,,,,,,,,,,,,,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,C0030010009a,"꿀, 들깨",292 ,20.6 ,0.4 ,0 ,0 ,79.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,국('77),371,C0030010009a,"꿀, 들깨",-,-,-,-,38 ,9 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.02 ,0.01 ,0.2,-,-,-,-,-,-,국('77)
,,"Honey, Perilla",,,,,,,,,,,,,,,,,,,,,,,"Honey, Perilla",,,,,,,,,,,,,,,,,,,,,,,,,,,
372,C0030020009a,"꿀, 밤",314 ,14.2 ,0.45 ,0.02 ,0.42 ,84.91 ,67.36 ,0.8 ,220 ,69 ,151 ,0.02 ,0 ,0.02 ,0 ,0 ,0 ,0 ,0 ,농진청('13),372,C0030020009a,"꿀, 밤",18 ,0.25 ,9 ,8 ,248 ,1 ,0.06 ,0.024 ,1.561 ,1.98 ,0.42 ,1.27 ,0 ,0 ,0 ,0 ,0 ,0 ,0.516 ,0.918,0.133 ,0.032 ,0 ,0 ,0 ,0.08 ,농진청('13)
,,"Honey, Chestnut",,,,,,,,,,,,,,,,,,,,,,,"Honey, Chestnut",,,,,,,,,,,,,,,,,,,,,,,,,,,
373,C0030030009a,"꿀, 싸리",315 ,14.3 ,0.3 ,0 ,0 ,85.4 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,국('77),373,C0030030009a,"꿀, 싸리",-,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.3,-,-,-,-,-,-,국('77)
,,"Honey, Bush clover",,,,,,,,,,,,,,,,,,,,,,,"Honey, Bush clover",,,,,,,,,,,,,,,,,,,,,,,,,,,
374,C0030040009a,"꿀, 아카시아",319 ,13.3 ,0.12 ,0 ,0.09 ,86.49 ,74.68 ,0 ,79 ,27 ,52 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('13),374,C0030040009a,"꿀, 아카시아",3 ,0.02 ,1 ,3 ,20 ,0 ,0 ,0 ,0.015 ,1.52 ,0.09 ,0.55 ,0 ,0 ,0 ,0 ,0 ,0 ,0.403 ,0.052,0 ,0.041 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Honey, Acacia",,,,,,,,,,,,,,,,,,,,,,,"Honey, Acacia",,,,,,,,,,,,,,,,,,,,,,,,,,,
375,C0030050009a,"꿀, 잡화",318 ,13.3 ,0.26 ,0.02 ,0.37 ,86.05 ,75.96 ,0 ,176 ,56 ,120 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('13),375,C0030050009a,"꿀, 잡화",7 ,0.11 ,6 ,9 ,156 ,1 ,0.05 ,0.028 ,0.749 ,0.30 ,0.24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.519 ,0.236,0.226 ,0.007 ,0 ,6 ,0 ,0 ,농진청('13)
,,"Honey, Polyfloral",,,,,,,,,,,,,,,,,,,,,,,"Honey, Polyfloral",,,,,,,,,,,,,,,,,,,,,,,,,,,
376,C0030060009a,"꿀, 토종",313 ,14.4 ,0.38 ,0.02 ,0.47 ,84.73 ,67.18 ,0 ,212 ,71 ,141 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('13),376,C0030060009a,"꿀, 토종",10 ,0.14 ,7 ,8 ,203 ,1 ,0.10 ,0.025 ,1.196 ,0.50 ,0.31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.417 ,0.246,0.231 ,0.002 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Honey, Traditional",,,,,,,,,,,,,,,,,,,,,,,"Honey, Traditional",,,,,,,,,,,,,,,,,,,,,,,,,,,
377,C0040010009a,"당밀, 가공당",265 ,31.5 ,0.2 ,(0),0.1 ,68.2 ,-,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),377,C0040010009a,"당밀, 가공당",Tr,0.7 ,Tr,Tr,Tr,10 ,0.1 ,0,-,-,-,-,(0),-,(0),0 ,(0),0.01 ,0.02 ,0.1,(0),(0),-,(0),(0),(0),JAPAN('15)
,,Molasses,,,,,,,,,,,,,,,,,,,,,,,Molasses,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,C0050000009a,로얄제리,138 ,62.2 ,10.4 ,0.7 ,0.6 ,26.1 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,국('77),378,C0050000009a,로얄제리,237 ,1.8 ,-,149 ,263 ,4 ,-,-,-,-,-,-,-,-,-,-,-,0.26 ,0.31 ,3.0,-,-,-,-,-,0 ,국('77)
,,Royal Jelly,,,,,,,,,,,,,,,,,,,,,,,Royal Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,C0060020009a,"엿, 고구마",263 ,28.1 ,1.6 ,tr,0.6 ,69.7 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('95),379,C0060020009a,"엿, 고구마",4 ,0.5 ,-,137 ,484 ,6 ,-,-,-,-,-,-,0 ,4 ,-,-,-,0.23 ,0.09 ,0.5,-,-,-,-,-,0 ,농진청('95)
,,"Yeot(Crude maltose), Sweet potato",,,,,,,,,,,,,,,,,,,,,,,"Yeot(Crude maltose), Sweet potato",,,,,,,,,,,,,,,,,,,,,,,,,,,
380,C0070000009a,물엿,321 ,16.9 ,0.02 ,0 ,0.05 ,83.03 ,22.06 ,0 ,14 ,1 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('14),380,C0070000009a,물엿,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.37 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.007 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('14)
,,Starch syrup,,,,,,,,,,,,,,,,,,,,,,,Starch syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,C0090030009a,"사탕, 드롭스",379 ,1.2 ,0.31 ,0.55 ,0.37 ,97.57 ,42.77 ,0 ,208 ,90 ,118 ,0.53 ,0.07 ,0.24 ,0.22 ,0.07 ,0 ,0.1 ,0 ,농진청('13),381,C0090030009a,"사탕, 드롭스",25 ,0.06 ,5 ,30 ,-,44 ,0 ,0 ,0 ,1.10 ,0.69 ,11.83 ,0 ,0 ,0 ,0.27 ,0 ,0 ,0.377 ,0.018,0.212 ,0 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Candies, Drops",,,,,,,,,,,,,,,,,,,,,,,"Candies, Drops",,,,,,,,,,,,,,,,,,,,,,,,,,,
382,C0090040009a,"사탕, 마쉬멜로",326 ,18.5 ,2.2 ,0,Tr,79.3 ,61.2 ,0,2235 ,-,-,-,-,-,-,-,0,0,0 ,JAPAN('15),382,C0090040009a,"사탕, 마쉬멜로",1 ,0.1 ,0,1 ,1 ,7 ,0,Tr,-,-,-,-,0,-,0,0 ,0,0,0,0,Tr,0,-,0,0,0,JAPAN('15)
,,"Candies, Marshmallow",,,,,,,,,,,,,,,,,,,,,,,"Candies, Marshmallow",,,,,,,,,,,,,,,,,,,,,,,,,,,
383,C0090050009a,"사탕, 박하사탕",382 ,1.3 ,0.02 ,0.02 ,0.07 ,98.59 ,41.67 ,0 ,12 ,3 ,9 ,0.01 ,0 ,0 ,0.01 ,0 ,0 ,0 ,0 ,농진청('13),383,C0090050009a,"사탕, 박하사탕",27 ,0 ,2 ,14 ,1 ,0 ,0 ,0 ,0 ,1.42 ,0.07 ,0 ,0 ,0 ,0 ,0.45 ,0 ,0 ,0.300 ,0,0.054 ,0 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Candies, Mint",,,,,,,,,,,,,,,,,,,,,,,"Candies, Mint",,,,,,,,,,,,,,,,,,,,,,,,,,,
384,C0090060009a,"사탕, 버터",352 ,0.6 ,0.22 ,8.22 ,0.34 ,90.62 ,34.27 ,1.2 ,146 ,57 ,89 ,7.78 ,0.16 ,6.75 ,0.73 ,0.16 ,0 ,0.3 ,0 ,농진청('13),384,C0090060009a,"사탕, 버터",7 ,0.07 ,2 ,9 ,17 ,125 ,0 ,0.108 ,0 ,3.77 ,1.08 ,0 ,34 ,36 ,0 ,3.41 ,0 ,0 ,0.449 ,0,0 ,0.036 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Candies, Butter",,,,,,,,,,,,,,,,,,,,,,,"Candies, Butter",,,,,,,,,,,,,,,,,,,,,,,,,,,
385,C0090070009a,"사탕, 땅콩",354 ,0.6 ,0.23 ,7.14 ,0.83 ,91.20 ,37.08 ,2.6 ,2618 ,1093 ,1525 ,6.81 ,1.72 ,2.01 ,3.02 ,1.72 ,0 ,0.7 ,0 ,농진청('13),385,C0090070009a,"사탕, 땅콩",7 ,0.21 ,23 ,50 ,84 ,271 ,0.25 ,0.057 ,0.377 ,4.64 ,5.90 ,0.72 ,0 ,0 ,0 ,1.26 ,0 ,0 ,0.195 ,0.094,0 ,0.024 ,0 ,17 ,0 ,0 ,농진청('13)
,,"Candies, Peanut",,,,,,,,,,,,,,,,,,,,,,,"Candies, Peanut",,,,,,,,,,,,,,,,,,,,,,,,,,,
386,C0110000005a,"설탕, 가루 ",389 ,0.23 ,0 ,0 ,0.01 ,99.77 ,97.81 ,0 ,-,-,-,0 ,-,0 ,0 ,0 ,0 ,0 ,0 ,USDA('15),386,C0110000005a,"설탕, 가루 ",1 ,0.06 ,0 ,0 ,2 ,2 ,0.01 ,0.007 ,0.004 ,0.6 ,-,-,0 ,0 ,0 ,0 ,0 ,0 ,0.019 ,0,0 ,0 ,-,0 ,0 ,0 ,USDA('15)
,,"Sugars, Powder",,,,,,,,,,,,,,,,,,,,,,,"Sugars, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
387,C0110010009a,"설탕, 각설탕",387 ,Tr,(0),(0),0,100.0,100.0 ,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),387,C0110010009a,"설탕, 각설탕",Tr,0.1 ,0,(0),Tr,Tr,0,0.01 ,-,-,-,-,(0),-,(0),0 ,(0),(0),(0),(0),(0),(0),-,(0),(0),(0),JAPAN('15)
,,"Sugars, Cube sugar",,,,,,,,,,,,,,,,,,,,,,,"Sugars, Cube sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
388,C0110020009a,"설탕, 백설탕",387 ,0 ,0 ,0.01 ,0.03 ,99.96 ,93.45 ,0 ,2 ,0 ,2 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('13),388,C0110020009a,"설탕, 백설탕",4 ,0.13 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,1.71 ,5.03 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.594 ,0,0.110 ,0 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Sugars, White sugar",,,,,,,,,,,,,,,,,,,,,,,"Sugars, White sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
389,C0110030009a,"설탕, 빙설탕",387 ,Tr,0.1 ,(0),0,99.9 ,100.1 ,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),389,C0110030009a,"설탕, 빙설탕",1 ,0.2 ,Tr,Tr,Tr,2 ,1.2 ,0.01 ,-,-,-,-,(0),-,(0),0 ,(0),(0),(0),(0),(0),(0),-,(0),(0),(0),JAPAN('15)
,,"Sugars, Candy sugar",,,,,,,,,,,,,,,,,,,,,,,"Sugars, Candy sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
390,C0110040009a,"설탕, 황설탕",386 ,0.1 ,0 ,0.01 ,0.08 ,99.81 ,80.16 ,0 ,9 ,3 ,6 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('13),390,C0110040009a,"설탕, 황설탕",9 ,0.16 ,2 ,0 ,8 ,1 ,0 ,0 ,0 ,2.21 ,29.95 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0.192 ,0 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Sugars, Light brown sugar",,,,,,,,,,,,,,,,,,,,,,,"Sugars, Light brown sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
391,C0110050009a,"설탕, 흑설탕",379 ,1.7 ,0.12 ,0.01 ,0.29 ,97.88 ,90.00 ,0 ,30 ,7 ,23 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,0 ,0 ,농진청('13),391,C0110050009a,"설탕, 흑설탕",60 ,0.69 ,10 ,1 ,94 ,4 ,0 ,0 ,0.055 ,2.80 ,12.89 ,0 ,0 ,0 ,0 ,0 ,0 ,0.070 ,0.627 ,0,0.894 ,0 ,0 ,0 ,0 ,0 ,농진청('13)
,,"Sugars, Dark brown sugar",,,,,,,,,,,,,,,,,,,,,,,"Sugars, Dark brown sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
392,C0120010009a,"시럽, 단풍나무",260 ,32.39 ,0.04 ,0.06 ,0.47 ,67.04 ,60.46 ,0 ,-,-,-,0.035 ,-,0.007 ,0.011 ,0.017 ,0 ,0 ,0 ,USDA('15),392,C0120010009a,"시럽, 단풍나무",102 ,0.11 ,21 ,2 ,212 ,12 ,1.47 ,0.018 ,2.908 ,0.6 ,-,-,0 ,0 ,0 ,0 ,0 ,0.066 ,1.270 ,0.081,0.036 ,0.002 ,-,0 ,0 ,0 ,USDA('15)
,,"Syrups, Maple",,,,,,,,,,,,,,,,,,,,,,,"Syrups, Maple",,,,,,,,,,,,,,,,,,,,,,,,,,,
393,C0120030009a,"시럽, 초코",268 ,30.0 ,2.1 ,0.1 ,0.7 ,67.1 ,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0 ,농진청('03),393,C0120030009a,"시럽, 초코",7 ,3.6 ,-,64 ,132 ,88 ,-,-,-,-,-,-,-,-,-,-,-,0.05 ,0.17 ,1.6,-,-,-,-,-,0 ,농진청('03)
,,"Syrups, Chocolate",,,,,,,,,,,,,,,,,,,,,,,"Syrups, Chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,
394,C0130010009a,"양갱, 팥",298 ,22.9 ,3.37 ,0.14 ,0.15 ,73.44 ,41.94 ,4.0 ,3217 ,1542 ,1675 ,0.13 ,0.07 ,0.05 ,0.01 ,0.07 ,0 ,0 ,0 ,농진청('15),394,C0130010009a,"양갱, 팥",18 ,0.77 ,11 ,23 ,42 ,2 ,0.34 ,0.036 ,0.175 ,1.53 ,18.27 ,83.99 ,0 ,0 ,0 ,0.17 ,0 ,0 ,0.126 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,농진청('15)
,,"Yanggaeng, Sweet red bean jelly",,,,,,,,,,,,,,,,,,,,,,,"Yanggaeng, Sweet red bean jelly",,,,,,,,,,,,,,,,,,,,,,,,,,,
395,C0140010005a,"젤라틴, 디저트용, 가루 ",381 ,1.00 ,7.80 ,0 ,0.70 ,90.50 ,86.04 ,0 ,7820 ,-,-,0 ,-,0 ,0 ,0 ,0 ,1.2 ,0 ,USDA('15),395,C0140010005a,"젤라틴, 디저트용, 가루 ",3 ,0.13 ,2 ,141 ,7 ,466 ,0.01 ,0.118 ,0.011 ,6.7 ,-,-,0 ,0 ,0 ,0 ,0 ,0.003 ,0.041 ,0.009,0.014 ,0.001 ,-,3 ,0 ,0 ,USDA('15)
,,"Gelatin, For dessert, Powder mix",,,,,,,,,,,,,,,,,,,,,,,"Gelatin, For dessert, Powder mix",,,,,,,,,,,,,,,,,,,,,,,,,,,
