번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1491,채소류,"얼레지, 뿌리, 마른것 ",100,339,83.3,5.6,0.4,0,7,0,0,0,2011
1492,채소류,"얼레지, 뿌리, 마른것 ",100,256,83.3,5.6,0.4,N/A,7,N/A,N/A,0,2017
1493,채소류,"엄나무(개두릅), 잎, 데친것 ",100,31,5.3,3.9,0.3,0,34,0,0,0,2011
1494,채소류,"엄나무(개두릅), 잎, 데친것 ",100,41,3.86,7.05,0.75,0,3,0,0.18,0,2017
1495,채소류,"엄나무(개두릅), 잎, 생것 ",100,47,8.2,4.5,0.8,0,24,0,0,0,2011
1496,채소류,"엄나무(개두릅), 잎, 생것 ",100,43,5.2,6.94,0.67,0.36,1,0,0.19,0,2017
1497,채소류,"엉겅퀴, 마른것 ",100,267,55.6,22.4,1.6,0,7,0,0,0,2011
1498,채소류,"엉겅퀴, 마른것 ",100,229,55.6,22.4,1.6,N/A,7,N/A,N/A,0,2017
1499,채소류,"엉겅퀴, 숙건 ",100,279,54.2,27.4,2.2,0,7,0,0,0,2011
1500,채소류,"엉겅퀴, 숙건 ",100,248,54.2,27.4,2.2,N/A,7,N/A,N/A,0,2017
1501,채소류,"여주(고야), 생것 ",100,11,3.1,0.1,0,0,2,0,0,0,2011
1502,채소류,"여주(고야), 생것 ",100,19,4.48,1.28,0.36,0.36,0,0,0.03,0,2017
1503,채소류,"연근, 데친것 ",100,68,16.8,1.1,0,0,232,0,0,0,2011
1504,채소류,"연근, 데친것 ",100,45,14.41,1.07,0.08,0.59,6,0,0.02,0,2017
1505,채소류,"연근, 생것 ",100,70,16.4,2.1,0.1,0,36,0,0,0,2011
1506,채소류,"연근, 생것 ",100,55,17.28,1.63,0.07,1.81,21,0,0.02,0,2017
1507,채소류,"열대비름, 생것 ",100,45,6.5,5.8,0.9,0,N/A,0,0,0,2011
1508,채소류,"열대비름, 생것 ",100,44,6.5,5.8,0.9,N/A,N/A,N/A,N/A,0,2017
1509,채소류,"염교(락교) 가공(기타), 염교(락교)장아찌 ",100,85,20.5,0.6,0.1,0,573,0,0,0,2011
1510,채소류,"염교(락교) 가공(기타), 염교(락교)장아찌 ",100,85,20.5,0.6,0.1,N/A,573,N/A,N/A,0,2017
1511,채소류,"염교(락교), 뿌리줄기, 생것 ",100,110,29.3,1.4,0.2,0,2,0,0,0,2011
1512,채소류,"염교(락교), 뿌리줄기, 생것 ",100,118,29.3,1.4,0.2,N/A,2,0,-0.03,0,2017
1513,채소류,"영아자, 데친것 ",100,36,7.8,2.5,0.2,0,6,0,0,0,2011
1514,채소류,"영아자, 데친것 ",100,30,7.8,2.5,0.2,N/A,6,N/A,N/A,0,2017
1515,채소류,"영아자, 마른것 ",100,278,54.4,23.8,3.1,0,15,0,0,0,2011
1516,채소류,"영아자, 마른것 ",100,244,54.4,23.8,3.1,N/A,15,N/A,N/A,0,2017
1517,채소류,"영아자, 생것 ",100,34,7.7,2.5,0.1,0,14,0,0,0,2011
1518,채소류,"영아자, 생것 ",100,29,7.7,2.5,0.1,N/A,14,N/A,N/A,0,2017
1519,채소류,"오이 가공(기타),  오이절임(오이지)  ",100,17,2.9,0.8,0.2,0,1444,0,0,0,2011
1520,채소류,"오이 가공(기타),  오이절임(오이지)  ",100,8,2.1,0.63,0.12,14.31,1647,0,0.03,0,2017
1521,채소류,"오이 가공(기타), 오이피클 ",100,106,25.3,0.6,0.3,0,667,0,0,0,2011
1522,채소류,"오이 가공(기타), 오이피클 ",100,64,25.07,0.38,0.12,22.69,1040,0,0.05,0,2017
1523,채소류,"오이, 개량종, 생것 ",100,12,2.8,0.8,trace,0,2,0,0,0,2011
1524,채소류,"오이, 개량종, 생것 ",100,12,3.05,1.22,0.02,1.38,3,0,0.01,0,2017
1525,채소류,"오이, 재래종, 생것 ",100,11,2.3,0.8,0.1,0,5,0,0,0,2011
1526,채소류,"오크라, 데친것 ",100,33,7.6,2.1,0.1,0,4,0,0,0,2011
1527,채소류,"오크라, 데친것 ",100,33,7.6,2.1,0.1,2.1,4,0,-0.02,0,2017
1528,채소류,"오크라, 생것 ",100,30,6.6,2.1,0.2,0,4,0,0,0,2011
1529,채소류,"오크라, 생것 ",100,30,6.6,2.1,0.2,1.9,4,0,-0.03,0,2017
1530,채소류,"왕호장잎, 생것 ",100,79,15.1,4.9,1.6,0,15,0,0,0,2011
1531,채소류,"왕호장잎, 생것 ",100,68,15.1,4.9,1.6,N/A,15,N/A,N/A,0,2017
1532,채소류,"왜우산풀, 마른것 ",100,280,66.9,12.9,1.2,0,41,0,0,0,2011
1533,채소류,"왜우산풀, 숙건 ",100,290,67.4,15.3,1.4,0,54,0,0,0,2011
1534,채소류,"우엉, 데친것 ",100,70,16.7,1.8,0.1,0,6,0,0,0,2011
1535,채소류,"우엉, 데친것 ",100,40,11.34,1.88,0.09,0.69,5,0,0.02,0,2017
1536,채소류,"우엉, 생것 ",100,69,15.5,3.1,0.1,0,5,0,0.05,0,2011
1537,채소류,"우엉, 생것 ",100,54,15.29,2.61,0.06,2.87,6,0,0.02,0,2017
1538,채소류,"울외 가공(기타), 울외장아찌 ",100,67,13.1,5.1,0.3,0,3487,0,0,0,2011
1539,채소류,"울외 가공(기타), 울외장아찌 ",100,59,13.1,5.1,0.3,N/A,3487,N/A,N/A,0,2017
1540,채소류,"워터크레스,워터크레스",100,20,3.7,3.5,0.1,0,28,0,0,0,2006
1541,채소류,"워터크레스,워터크레스",100,22,3.7,3.5,0.1,N/A,28,N/A,N/A,0,2017
1542,채소류,"원추리, 생것 ",100,42,8.4,3.7,0.4,0,2,0,0.09,0,2011
1543,채소류,"원추리, 생것 ",100,31,6.48,3.55,0.36,2.51,1,0,0.08,0,2017
1544,채소류,"유채, 동채, 생것 ",100,50,12.1,2.2,0.2,0,N/A,0,0,0,2011
1545,채소류,"유채, 동채, 생것 ",100,29,4.57,4.13,0.32,0.6,11,0,0.06,0,2017
1546,채소류,"유채, 새싹, 생것 ",100,78,6.8,3.4,4.6,0,5,0,0,0,2011
1547,채소류,"유채, 새싹, 생것 ",100,76,6.8,3.4,4.6,N/A,5,N/A,N/A,0,2017
1548,채소류,"유채, 서양종, 줄기잎, 데친것 ",100,31,5.3,3.6,0.4,0,10,0,0,0,2011
1549,채소류,"유채, 서양종, 줄기잎, 데친것 ",100,31,5.3,3.6,0.4,N/A,10,0,-0.04,0,2017
1550,채소류,"유채, 서양종, 줄기잎, 생것 ",100,35,6,4.1,0.4,0,12,0,0,0,2011
1551,채소류,"유채, 서양종, 줄기잎, 생것 ",100,35,6,4.1,0.4,N/A,12,0,-0.04,0,2017
1552,채소류,"유채, 잎, 생것 ",100,40,1.6,3.2,3.2,0,N/A,0,0,0,2011
1553,채소류,"유채, 잎, 생것 ",100,29,5.38,3.65,0.31,0.56,13,0,0.05,0,2017
1554,채소류,"유채,꽃대, 재래종",25,8.75,1.5,1.02,0.1,0,3,0,0,0,2006
1555,채소류,"유채,꽃대, 재래종,삶은것",25,7.75,1.33,0.9,0.1,0,2.5,0,0,0,2006
1556,채소류,"이꽃(홍화), 잎, 생것 ",100,45,9,3.9,0.4,0,5,0,0,0,2011
1557,채소류,"이꽃(홍화), 잎, 생것 ",100,39,9,3.9,0.4,N/A,5,N/A,N/A,0,2017
1558,채소류,"이밥추, 생것",100,48,10.1,3,0.6,0,3,0,0,0,2011
1559,채소류,"이밥추, 생것",100,40,10.1,3,0.6,N/A,3,N/A,N/A,0,2017
1560,채소류,"자운영, 생것 ",100,40,6.6,4.6,0.6,0,N/A,0,0,0,2011
1561,채소류,"자운영, 생것 ",100,38,6.6,4.6,0.6,N/A,N/A,N/A,N/A,0,2017
1562,채소류,"잔대, 뿌리, 생것 ",100,79,18.6,2.1,0.2,0,8,0,0,0,2011
1563,채소류,"잔대, 뿌리, 생것 ",100,61,18.6,2.1,0.2,N/A,8,N/A,N/A,0,2017
1564,채소류,"잔대, 순, 생것 ",100,55,9.9,3.4,0.9,0,1,0,0,0,2011
1565,채소류,"잔대, 순, 생것 ",100,48,9.9,3.4,0.9,N/A,1,N/A,N/A,0,2017
1566,채소류,"적하수오, 잎, 생것 ",100,35,7.6,2.1,0.3,0,14,0,0,0,2011
1567,채소류,"적하수오, 잎, 생것 ",100,29,7.6,2.1,0.3,N/A,14,N/A,N/A,0,2017
1568,채소류,"전호, 생것 ",100,23,4.2,3.1,0.1,0,62,0,0,0,2011
1569,채소류,"전호, 생것 ",100,22,4.2,3.1,0.1,N/A,62,N/A,N/A,0,2017
1570,채소류,"제비쑥, 생것 ",100,35,5,4.5,0.7,0,N/A,0,0,0,2011
1571,채소류,"제비쑥, 생것 ",100,34,5,4.5,0.7,N/A,N/A,N/A,N/A,0,2017
1572,채소류,"조뱅이, 생것 ",100,47,10.1,4,0.2,0,N/A,0,0,0,2011
1573,채소류,"조뱅이, 생것 ",100,41,10.1,4,0.2,N/A,N/A,N/A,N/A,0,2017
1574,채소류,"좀홍당무, 뿌리, 생것 ",100,14,3.1,0.8,0.1,0,8,0,0,0,2011
