번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
2594,제빵,쫄깃한치즈찰스틱,68,163.2,0,4.08,0,3.06,183.6,0,2.31,0,2015
2595,제빵,착한 소보루빵,120,564,0,14.4,0,30,432,0,8.4,0,2015
2596,제빵,착한 슈크림빵,120,396,0,12,0,26.4,384,0,5.4,0,2015
2597,제빵,착한주종 단팥빵,120,432,91.2,13.2,2.4,32.4,288,12,1.2,0,2015
2598,제빵,찰떡빵,86,192.64,40.42,3.44,2.58,14.62,202.96,14.62,0.86,0,2015
2599,제빵,찰진슈크림빵,95,242.25,35.15,5.7,9.5,9.5,247,19,6.65,0,2015
2600,제빵,찰토스트,70,127.4,22.4,3.5,2.8,2.1,184.1,3.5,1.4,0,2015
2601,제빵,찹쌀도우넛,80,192,0,3.2,0,7.2,216,0,0.56,0,2015
2602,제빵,찹쌀앙금빵,80,172,0,4,0,17.6,368,0,1.6,0,2015
2603,제빵,찹쌀페스츄리도넛,70,245,0,2.8,0,4.9,182,0,2.59,0,2015
2604,제빵,찹쌀폰데밀크도넛,68,172.04,0,1.36,0,4.76,144.16,0,4.76,0,2015
2605,제빵,찹쌀폰데오리지널,60,128.4,0,0.6,0,3.6,123,0,3,0,2015
2606,제빵,찹쌀폰데현미도넛,56,113.68,0,1.12,0,2.24,112,0,2.8,0,2015
2607,제빵,천일염 버터로 만든 브리오쉬,80,260,0,4.8,0,11.2,184,0,9.6,0,2015
2608,제빵,체리도우넛,75,183,0,3,0,11.25,180,0,1.12,0,2015
2609,제빵,체리생크림,53,84.27,7.42,1.06,5.83,5.83,22.79,19.61,3.18,0,2015
2610,제빵,체리파크 1호,70,114.8,15.4,1.4,5.6,10.5,56,32.9,3.5,0,2015
2611,제빵,초코 앤 화이트 케이크,70,185,18,3,12,9,45,65,3,0.26,2012
2612,제빵,초코&화이트커플,70,133,13.3,2.1,8.4,9.1,33.6,48.3,4.9,0,2015
2613,제빵,초코&화이트케이크,70,129.5,12.6,2.1,8.4,6.3,31.5,45.5,2.1,0.35,2015
2614,제빵,초코가나슈크림빵,83,240.7,0,4.98,0,24.9,166,0,2.82,0,2015
2615,제빵,초코롤,62,146.94,15.5,2.48,8.68,9.3,49.6,57.04,4.34,0,2015
2616,제빵,초코롤(미니),39,57.33,5.85,0.78,3.51,3.9,21.06,21.45,1.95,0,2015
2617,제빵,초코롤케익,70,154,18.2,3.5,7.7,10.5,105,70,1.05,0,2015
2618,제빵,초코링,59,155.76,0,2.95,0,4.72,123.31,0,6.49,0,2015
2619,제빵,초코만주,66,168.3,27.06,4.62,5.28,13.2,56.1,23.1,1.98,0,2015
2620,제빵,초코머핀,80,272,32.8,3.2,15.2,17.6,240,52.8,2.96,0,2015
2621,제빵,초코미니쉬폰,60,135,19.8,3,4.8,10.8,69,39,2.28,0,2015
2622,제빵,초코베어,30,45,4.26,0.47,2.84,2.84,28.42,0,0.38,0,2015
2623,제빵,초코본델리슈,50,65,14.5,1.5,1,10.5,12.5,37.5,0.5,0,2015
2624,제빵,초코생크림케이크1호A,74,173.9,0,2.22,0,14.8,74,0,4.44,0,2015
2625,제빵,초코생크림케이크1호B,71,181.05,0,2.13,0,21.3,60.35,0,3.55,0,2015
2626,제빵,초코생크림케이크2호,67,144.05,0,2.01,0,10.05,60.3,0,4.69,0,2015
2627,제빵,초코생크림케이크2호A,68,132.6,0,1.36,0,8.16,23.8,0,6.12,0,2015
2628,제빵,초코생크림케이크3호B,71,145.55,0,2.13,0,12.07,60.35,0,3.48,0,2015
2629,제빵,초코소라,50,160,26,3,5,14,130,20,2.5,0.05,2012
2630,제빵,초코소라빵,50,80,13,1.5,2.5,7,65,10,1.25,0.25,2015
2631,제빵,초코소프트케익,65,159.25,20.15,3.9,7.15,10.4,71.5,22.75,2.34,0,2015
2632,제빵,초코쉬폰,70,154,14.7,2.8,9.1,10.5,114.8,38.5,4.2,0,2015
2633,제빵,초코스콘,75,228.75,35.25,3,8.25,11.25,240,15,4.5,0,2015
2634,제빵,초코스틱,30,40.5,4.2,0.6,2.4,1.2,21.9,1.5,0.81,0,2015
2635,제빵,초코올드훼션드,55,148.5,16.5,1.65,8.25,1.65,82.5,25.3,4.4,0,2015
2636,제빵,초코와블루베리의듀얼스토리,48,84,9.84,0.96,4.32,4.8,70.8,16.8,0.48,0,2015
2637,제빵,초코체리휘낭시에,30,110,12,2,7,7,40,10,3.5,0.12,2012
2638,제빵,초코츄이스티,70,171.5,18.9,1.4,10.5,7,84,16.8,4.9,0,2015
2639,제빵,초코츄이스티,70,286.46,32.67,2.51,17.59,6.79,163.33,12.56,10.05,0,2017
2640,제빵,초코츄잉스타,67,237.85,0,2.01,0,7.37,113.9,0,4.69,0,2015
2641,제빵,초코칩머핀,80,247.2,28,4,13.6,12,151.2,48.8,3.2,0,2015
2642,제빵,초코칩머핀 <특판용>,56,120.96,13.44,1.68,6.72,6.16,74.48,24.08,1.68,0,2015
2643,제빵,초코칩스콘,75,202.5,27.75,3,9,8.25,262.5,33.75,6,0,2015
2644,제빵,초코칩쏙쏙 화이트브레드,60,195,30,4,7,12,140,10,3.5,0,2012
2645,제빵,초코칩피칸쿠키,100,462.89,70.21,5.44,17.81,21.81,368.38,0,10.11,0,2013
2646,제빵,초코컵케익,48,86.4,10.08,0.96,4.32,4.8,64.8,0,0.96,0,2015
2647,제빵,초코크런치도넛,64,198.4,0,1.92,0,8.32,156.8,0,8.32,0,2015
2648,제빵,초코크런치크룰러,82,309.96,0,2.46,0,11.48,164.82,0,14.76,0,2015
2649,제빵,초코크림빵,65,123.5,0,3.25,0,0,110.5,0,2.34,0,2015
2650,제빵,초코패션,71,232.17,0,2.13,0,10.65,156.91,0,8.52,0,2015
2651,제빵,초코팬브라우니,75,243.75,0,2.25,0,20.25,202.5,0,8.25,0,2015
2652,제빵,초코호두 오!달링,44,66,0,1.32,0,6.6,26.4,0,1.76,0,2015
2653,제빵,초코휘낭시에,30,37.5,4.12,0.38,2.25,2.62,18.75,0,0.75,0,2015
2654,제빵,초콜릿 아이스드 커스터드 필드,76,212.8,22.8,3.04,12.16,6.84,114,0,5.32,0,2015
2655,제빵,초콜릿머핀,75,210,24.75,2.25,12,14.25,210,45,1.88,0.37,2015
2656,제빵,초콜릿케익(화이트)1호,55,122.1,11.55,1.65,7.7,8.8,50.05,25.85,3.85,0,2015
2657,제빵,초콜릿케익(화이트)3호,62,147.56,15.5,1.86,8.68,11.16,66.96,36.58,4.34,0,2015
