번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
1,밥류,감자 주먹 밥,215,239.38,41.9,8.97,5.61,0,66.99,0,0,0,2008
2,밥류,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01,2010
3,밥류,곤드레나물밥,350,521.83,98.86,10.28,9.48,0,90.61,0,0.87,0.02,2016
4,밥류,국밥,800,418.34,58.58,27.55,8.2,0.44,2301.55,47.81,2.66,0.18,2016
5,밥류,"국밥, 굴",100,105.13,13.6,6.53,2.73,0.05,251.6,79.75,0.61,0.02,2013
6,밥류,김밥,200,317.68,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06,2009
7,밥류,김치 고구마 밥,206,247.84,54.01,3.79,2.51,0,233.03,0,0,0,2008
8,밥류,김치김밥,250,344.97,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05,2010
9,밥류,김치볶음밥,500,754.73,120,23.07,20.27,4.28,1791.99,152.55,7.1,0.17,2009
10,밥류,김치쌈밥,169,205.15,39.48,7.55,4.11,0,553.19,0,0,0,2008
11,밥류,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02,2012
12,밥류,돼지국밥,1200,911.4,74.66,66.36,38.59,0,1096.58,142.55,8.44,0.2,2016
13,밥류,두부 채소 볶음밥,281,321.41,60.3,13.63,6.58,0,212.77,0,0,0,2008
14,밥류,레몬이 들어간 새우 케밥,200,215.4,35.02,15.16,2.86,0,167.56,0,0,0,2008
15,밥류,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12,2011
16,밥류,멍게비빔밥,400,547.21,90.67,16.57,13.14,16.69,1144.8,21.9,2.42,0.08,2016
17,밥류,멸치주먹밥,150,312.43,54.33,9.04,6.55,0.9,496.21,42.45,1.05,0.03,2013
18,밥류,묵밥,950,642.16,128.55,14.76,7.66,15.08,2075.5,42.65,1.5,0,2016
19,밥류,문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0,2012
20,밥류,볶음밥,400,773.3,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29,2009
21,밥류,불고기덮밥,500,669.3,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45,2010
22,밥류,비빔밥,500,706.62,114.83,19.92,18.62,25.66,1337.1,111.13,3.85,0.12,2009
23,밥류,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15,2011
24,밥류,새싹 비빔밥,251,264.53,50.53,8.73,5.35,0,317.62,0,0,0,2008
25,밥류,새우볶음밥,400,700.02,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07,2010
26,밥류,새우초밥,250,387.67,78.42,16.81,0.75,11.65,1110.29,72.64,0.55,0.01,2012
27,밥류,새우튀김롤,300,606.5,96.28,14.47,18.17,11.15,1391.43,55.88,3.41,0.11,2012
28,밥류,샐러드김밥,250,405.95,61.45,9.61,13.52,3.42,911.18,84.58,2.79,0.06,2010
29,밥류,생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02,2010
30,밥류,생선초밥(모듬),300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04,2010
31,밥류,소고기국밥,700,330.53,42.62,21.82,8.09,2.76,1786.3,41.85,2.27,0.15,2016
32,밥류,소고기김밥,250,400.61,62.52,15.98,9.62,0.84,1061.19,93.08,2.53,0.11,2010
33,밥류,소머리국밥,800,631.99,17.53,75.98,28.66,0,823.26,241.92,9.67,0.6,2010
34,밥류,송이덮밥,600,581.81,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1,2011
35,밥류,쇠고기 말이 쌈밥,150,203.71,27.5,11.23,6.09,0,353.57,0,0,0,2008
36,밥류,숯불갈비 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01,2010
37,밥류,쌀밥,200,272,66.4,6,0.2,0,6,0,0,0,2008
38,밥류,쌈밥,316,314.55,57.51,13.21,3.63,0,556.92,0,0,0,2008
39,밥류,알밥,400,618.5,116.78,14.59,10.34,0.92,1339.31,84.39,2.49,0.1,2010
40,밥류,약초비빔밥,400,511.8,80.16,11.9,15.95,2.89,971.61,0,2.35,0.08,2016
41,밥류,연어롤,300,510.19,74.32,18.57,15.41,8.47,1211.9,61.97,2.83,0.1,2012
42,밥류,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.39,32.05,1.84,0.06,2012
43,밥류,영양밥,174,321.41,63.61,6.3,5.06,0,101.7,0,0,0,2008
44,밥류,오곡밥,250,390,82.25,12,1.25,0.25,113.9,0,0.5,0,2013
45,밥류,오므라이스,450,729.97,112.45,21.52,21.56,10.35,1483.37,206.32,5.8,0.08,2009
46,밥류,오징어 덮밥,500,679.9,107.31,31.5,13.85,5.71,1622.91,280.59,2.31,0.09,2010
47,밥류,유부초밥,250,446.33,82.31,12.45,7.47,10.67,1046.17,2.47,1.53,0.04,2009
48,밥류,육회비빔밥,450,679.7,96.18,29.18,19.8,12.03,935.91,115.98,4.2,0.19,2012
49,밥류,자장밥,500,741.66,120.06,15.23,22.27,5.37,1560.38,26.43,8.56,0.17,2009
50,밥류,잡채밥,650,884.66,159.47,19.49,18.76,2.76,1908.24,22.21,9.67,0.29,2009
51,밥류,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.86,4.07,0.12,2010
52,밥류,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.76,234.56,5.18,0.23,2012
53,밥류,장어초밥,250,486.26,80.68,16.52,10.83,13.68,1270.91,102.77,2.91,0.1,2012
54,밥류,제육덮밥,500,782.38,115.49,30.08,22.24,7.28,1538.06,83.76,5.68,0.16,2010
55,밥류,짬뽕밥,900,661.76,110.85,29.05,11.35,2.47,2813.26,251.3,2.42,0.05,2012
56,밥류,참치김밥,250,424.07,64.76,12.73,12.68,0.6,1108.41,97.82,3.91,0.19,2011
57,밥류,참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.74,115.79,3.4,0.09,2010
58,밥류,참치마요네즈 삼각김밥,100,161.24,32.55,4,1.67,0.17,358.36,4.04,0.53,0.02,2010
59,밥류,충무김밥,400,583.93,109.16,23.42,5.96,17.19,1294.27,156.85,1.1,0.02,2012
60,밥류,치즈김밥,300,510,77.7,15.3,15.3,0.6,1330.08,117.39,4.8,0.3,2011
61,밥류,치즈김밥,300,1395,234.9,52.2,27,0,2649,151.2,12.6,0,2017
62,밥류,카레라이스,500,672.01,126.01,13.49,12.66,4.97,1089.16,6.99,3.68,0.08,2009
63,밥류,캘리포니아롤,300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96,2.14,0.05,2012
64,밥류,콩나물국밥,900,429.65,71.08,18.5,7.93,1.71,2253.82,3.55,1.13,0,2016
65,밥류,콩나물해장국,700,223.26,12.05,24,8.78,0.06,1950.91,125.03,1.48,0.03,2010
66,밥류,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0,2012
67,밥류,해물덮밥,700,771.93,100.45,42.03,22.44,1.2,1802.68,286.24,5.41,0.21,2012
68,밥류,해물볶음밥,400,705.22,90.46,25.1,27,1.22,1074.35,241.8,5.38,0.15,2012
69,밥류,회덮밥,500,683.02,103.3,30.21,16.56,10.93,744.27,88.65,2.89,0.12,2010
70,빵 및 과자류,고등어 강정,65,154.59,10.1,7.66,9.16,0,206.38,0,0,0,2008
71,빵 및 과자류,곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21,2012
72,빵 및 과자류,과일파이,100,182.06,38.71,2.8,2.46,0,28.45,0,0,0,2008
73,빵 및 과자류,과자,30,46.5,5.7,0.6,2.4,2.25,18,0.36,1.17,0,2017
74,빵 및 과자류,꽃게강정,170,260.51,22.83,17.66,11.14,0,468.72,0,0,0,2008
75,빵 및 과자류,꽈배기,65,262.38,30.7,5.13,13.23,7.02,279.94,12.36,4.51,0.12,2009
76,빵 및 과자류,녹차스콘,60,184.59,31.24,4.39,4.79,0,131.3,0,0,0,2008
77,빵 및 과자류,녹차크레페,120,178.56,26.76,8,4.19,0,102.5,0,0,0,2008
78,빵 및 과자류,누룽지 과자,122,344.45,47.96,8.34,14.99,0,62.32,0,0,0,2008
79,빵 및 과자류,다시마칩,40,61.13,10.22,1.61,2.43,0,139.27,0,0,0,2008
80,빵 및 과자류,단호박 경단,69,162.87,30.57,3.59,3.33,0,86.97,0,0,0,2008
81,빵 및 과자류,두부샌드위치,195,190.4,22.25,8.31,9.67,0,7.51,0,0,0,2008
82,빵 및 과자류,라이스페이퍼 새우 롤,105,141.26,22.91,7.15,2.47,0,86.16,0,0,0,2008
83,빵 및 과자류,롤 피자,163,374.05,63.8,13.76,5.02,0,524.04,0,0,0,2008
84,빵 및 과자류,마늘빵,70,296.55,40.22,6.85,12.03,5.21,390.45,8.94,7.71,0.2,2009
85,빵 및 과자류,마늘빵,70,236.83,30.22,5.72,10.62,7.35,147,0,5.72,0,2017
86,빵 및 과자류,만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04,2012
87,빵 및 과자류,머핀,130,560.71,69.29,7.37,28.23,39.5,407.17,71.21,5.24,0.13,2012
88,빵 및 과자류,멸치누룽지과자,100,191.35,29.45,11.55,3.96,0,177.2,0,0,0,2008
89,빵 및 과자류,모닝빵,70,231.86,36.44,6.9,6.5,5.46,276.07,24.05,3.16,0.07,2010
90,빵 및 과자류,모닝빵,70,202.39,29.83,5.33,6.39,13.48,213.04,5.33,2.13,0,2017
91,빵 및 과자류,미니 버거,79,123.41,8.29,10.18,5.5,0,225.74,0,0,0,2008
92,빵 및 과자류,미니타르트,94,312.45,20.61,3.14,23.59,0,26.69,0,0,0,2008
93,빵 및 과자류,바질 고구마 옥수수빵,75,160.75,23.32,7.85,4.52,0,229.4,0,0,0,2008
94,빵 및 과자류,버터크림빵,70,268.28,32.36,5.72,12.88,8.39,223.04,20.78,9.84,0.32,2009
95,빵 및 과자류,버터크림빵,70,205.8,23.52,3.92,10.78,4.41,68.6,7.35,0.25,0,2017
96,빵 및 과자류,베이글,120,335.48,68.66,12.52,1.2,8.43,556,1.62,0.79,0.04,2012
97,빵 및 과자류,블루베리 치즈무스케익,126,420.61,40.09,5.53,26.96,0,154.64,0,0,0,2008
98,빵 및 과자류,사과와 양파를 곁들인 돼지등심 요리,138,293.83,5.95,17.83,21.02,0,35.82,0,0,0,2008
99,빵 및 과자류,사과와 크림치즈를 곁들인 토스트,95,188.25,31.99,4.77,4.87,0,215.14,0,0,0,2008
100,빵 및 과자류,생크림케이크,100,278.07,27.59,3.9,16.9,8.36,96.63,66.89,9.36,0.34,2012
101,빵 및 과자류,센베이,30,34.65,7.88,0.63,0,0.76,17.1,0,0,0,2017
102,빵 및 과자류,수퍼 브리또,145,253.47,40.6,9.37,6.42,0,110.2,0,0,0,2008
103,빵 및 과자류,식빵,40,113.2,20.44,3.32,2.08,0,26.4,0,0,0,2008
104,빵 및 과자류,아보카도 달걀 샌드위치,65,152.41,20.23,5.74,5.06,0,271.69,0,0,0,2008
105,빵 및 과자류,야채빵,70,135.49,23.64,4.18,2.25,0,131.79,0,0,0,2008
106,빵 및 과자류,야채빵,70,129.5,24.5,4.2,1.82,2.8,7,7,0.35,0,2017
107,빵 및 과자류,야채칩,100,72.2,17.76,1.82,0.12,0,17,0,0,0,2008
108,빵 및 과자류,"양송이버섯, 달걀크레페",215,349.1,48.2,16.77,9.57,0,91.81,0,0,0,2008
109,빵 및 과자류,잡곡강정,45,153.4,29.12,5.45,2.43,0,9.54,0,0,0,2008
110,빵 및 과자류,잣호두강정,19,93.71,7.94,2.02,6.8,0,0.81,0,0,0,2008
111,빵 및 과자류,찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04,2009
112,빵 및 과자류,채소 커리를 곁들인 팬케익,313,253.81,31.64,15.02,7.26,0,261.7,0,0,0,2008
113,빵 및 과자류,채소 팬케익,273,285.83,38.66,14.06,7.64,0,274.2,0,0,0,2008
114,빵 및 과자류,채소고로케,100,300.65,31.19,7.12,16.38,3.37,403.33,41.9,3.59,0.15,2010
115,빵 및 과자류,초콜릿케이크,100,420.24,43.6,5.32,24.95,23.13,170,50.84,14.4,0.38,2012
116,빵 및 과자류,치즈케이크,100,329.14,28.64,7.22,20.63,15.28,200.67,126.78,10.98,0.61,2012
117,빵 및 과자류,카스텔라,70,235.1,36.28,5.44,7.58,21.25,73.04,138.29,2.68,0.11,2012
118,빵 및 과자류,카스텔라,70,158.76,30.87,2.94,2.94,12.74,115.15,45.08,1.47,0,2017
119,빵 및 과자류,커리향이 들어간 치킨 샐러드 샌드위치,72,193.62,23.32,8.7,7.34,0,77.03,0,0,0,2008
120,빵 및 과자류,크로와상 샌드위치,75,137.62,13.5,5.11,7.08,0,199.77,0,0,0,2008
121,빵 및 과자류,클럽 샌드위치,110,193.54,22.78,10.59,6.58,0,164.7,0,0,0,2008
122,빵 및 과자류,티라미수,56,188.52,10.47,1.78,15.48,0,39.37,0,0,0,2008
123,빵 및 과자류,페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59,2009
124,빵 및 과자류,피스타치오 생크림과 산딸기 컵케이크,81,253.64,21.47,3.38,17.29,0,66.32,0,0,0,2008
125,빵 및 과자류,"한과, 매작과 ",30,123.9,19.83,2.25,3.96,4.92,29.83,10.03,0.69,0.03,2013
126,빵 및 과자류,"한과, 산자",30,109.8,24.66,0.69,0.93,9.39,6.86,0,0.03,0,2013
127,빵 및 과자류,"한과, 송화다식",30,110.7,22.2,2.49,1.35,8.01,4.04,0,0.27,0,2013
128,빵 및 과자류,"한과, 약과",30,119.7,25.47,1.26,1.44,5.07,17.19,0,0.36,0,2013
129,빵 및 과자류,"한과, 유과   ",30,127.2,22.26,0.84,3.84,7.23,6.84,0,0.42,0,2013
130,빵 및 과자류,한국식 오코노미야끼,130,263.87,39.53,15.44,3.18,0,115.15,0,0,0,2008
131,빵 및 과자류,햄치즈샌드위치,200,436.52,49.65,14.83,19.84,6.13,901.08,52.52,6.79,0.21,2009
132,빵 및 과자류,현미크레이프,120,259.06,56.2,7.02,0.7,0,41.56,0,0,0,2008
133,빵 및 과자류,호두과자,30,30.34,4.57,0.63,1.06,2.1,10.9,0,0.16,0,2017
134,면 및 만두류,간자장,650,824.54,134.23,22.33,22.03,12.16,2716.2,28.72,9.71,0.24,2009
135,면 및 만두류,고기만두,250,452.01,48.63,16.3,21.36,2.91,849.33,16.01,6.08,0.1,2009
136,면 및 만두류,고기완자를 곁들인 스웨덴식 국수,120,148.24,13.82,9.07,5.88,0,69.53,0,0,0,2008
137,면 및 만두류,구슬 파스타,120,299.86,48.91,10.61,5.77,0,120.14,0,0,0,2008
138,면 및 만두류,군만두,250,685.24,88.06,17.53,29.21,4.18,952.22,17.02,12.4,0.25,2009
139,면 및 만두류,굴짬뽕,900,680.67,115.69,32.87,9.6,1.7,2662.34,163.3,1.41,0.04,2011
140,면 및 만두류,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.54,2.12,0,2011
141,면 및 만두류,김치라면,650,552.32,86.22,13.77,16.93,1.22,2531.6,45.66,6.79,0.07,2013
142,면 및 만두류,김치만두,250,420.53,57.57,15.58,14.22,3.02,941.25,12.69,4.84,0.08,2009
143,면 및 만두류,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0,2011
144,면 및 만두류,낙지볶음면,223,154.36,27.56,9.63,1.03,0,270.05,0,0,0,2008
145,면 및 만두류,냉 쌀국수,250,246.45,36.42,16.45,3.75,0,304.9,0,0,0,2008
146,면 및 만두류,냉김치말이국수,600,302.53,52.03,12.92,4.75,8.27,2121.62,88.95,1.06,0.01,2016
147,면 및 만두류,니고랭,135,228.89,35.91,11.35,3.81,0,309.97,0,0,0,2008
148,면 및 만두류,땅콩소스 스파게티,90,207.69,34.11,10.63,2.82,0,132.47,0,0,0,2008
149,면 및 만두류,들깨칼국수,600,457.88,59.8,17.59,16.48,1.43,1192.57,3.37,1.46,0.02,2016
150,면 및 만두류,떡국,800,711.3,147.18,20.63,4.46,0.48,1928.42,136.34,2.18,0.02,2011
151,면 및 만두류,떡라면,700,743.16,118.57,19.3,21.3,0.26,2313.44,160.08,9.39,0.1,2013
152,면 및 만두류,떡만둣국,700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42,3.44,0.08,2010
153,면 및 만두류,라면,100,95.67,14.11,2.55,3.23,0.11,341.64,21.34,1.3,0.01,2013
154,면 및 만두류,"라면, 짬뽕라면",100,91.93,12.26,2.83,3.51,0.21,332.51,14.23,1.14,0.01,2013
155,면 및 만두류,라비올리 크림소스,356,768.64,101.99,39.37,19.47,0,273.09,0,0,0,2008
156,면 및 만두류,라비올리 토마토소스,392,338.57,55.86,14.46,6.43,0,116.46,0,0,0,2008
157,면 및 만두류,막국수,550,599.91,114.86,20.99,6.28,23.35,1503.04,64.43,1.56,0.03,2009
158,면 및 만두류,만둣국,700,434.05,47.83,21.43,17.44,3.05,2368,94.52,4.24,0.05,2009
159,면 및 만두류,메밀국수,600,611.72,117.8,19.64,6.88,11.37,1753.84,3.45,0.54,0,2011
160,면 및 만두류,물냉면,800,551.62,112.9,15.82,4.08,23.18,2618.21,41.78,1.18,0,2009
161,면 및 만두류,물만두,120,156.67,18.69,6.76,6.1,0.66,287.02,10.7,3.99,0.07,2009
162,면 및 만두류,미니그라탕,185,236.02,44.49,6.23,5.62,0,58.35,0,0,0,2008
163,면 및 만두류,바지락 볶음 면,225,234.49,36.34,12.56,3.98,0,447.41,0,0,0,2008
164,면 및 만두류,버섯 리조또,999,619.28,87.11,14.19,23.08,0,150.95,0,0,0,2008
165,면 및 만두류,버섯을 넣은 가지 라자냐,132,135.52,14.78,8.08,5.23,0,242.39,0,0,0,2008
166,면 및 만두류,비빔국수,550,617.94,109.85,18.75,11.5,23.61,1854.91,26.09,1.97,0.09,2009
167,면 및 만두류,비빔냉면,550,622.74,122.4,19.54,6.11,27.03,1663.87,75.15,1.9,0.05,2009
168,면 및 만두류,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0,2011
169,면 및 만두류,삼선자장면,700,803.9,126.53,33.63,18.14,10.15,2628.24,166.57,4.06,0.09,2011
170,면 및 만두류,삼선짬뽕,900,662.36,101.74,39.63,10.77,1.09,2689.13,312.48,1.92,0.03,2011
171,면 및 만두류,서리태 잣국수,430,477.95,60.89,18.1,18.27,0,82.99,0,0,0,2008
172,면 및 만두류,수제비,800,646.84,128.38,20.84,5.55,4.32,2030.3,82.66,1.43,0.01,2011
173,면 및 만두류,스파게티,100,354.62,77.06,11.2,0.18,2.96,0,0,0.03,0,2017
174,면 및 만두류,시저 샐러드,149,213.07,24.63,14.33,6.54,0,219.77,0,0,0,2008
175,면 및 만두류,쌀국수,200,80.7,11.06,7.98,0.28,0,68.48,0,0,0,2008
176,면 및 만두류,쌀국수,600,320.32,55.07,15.6,4.18,4.27,1651.58,33.6,1.4,0.08,2016
177,면 및 만두류,알록달록 시금치 당근 수제비,320,235.74,42.18,9.63,2.05,0,484,0,0,0,2008
178,면 및 만두류,열무냉면,800,525.49,97.52,20.84,5.78,27.14,3152.37,67.78,1.36,0,2009
179,면 및 만두류,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05,2011
180,면 및 만두류,올챙이국수,1500,565.79,111.61,11.23,8.27,18.6,3862.83,0,1.54,0,2016
181,면 및 만두류,우동(일식),700,421.51,74.2,13.39,7.9,2.48,2390.32,25.98,1.49,0.01,2009
182,면 및 만두류,우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03,2009
183,면 및 만두류,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01,2011
184,면 및 만두류,사모사(인도),80,155.96,20.03,7.83,4.96,0,212.46,0,0,0,2008
185,면 및 만두류,자장면,650,796.5,133.63,19.77,20.32,7.79,2391.58,10.76,8.51,0.18,2009
186,면 및 만두류,잔치국수,700,599.16,118.53,21.13,4.51,0.71,1683.17,60.46,1,0,2011
187,면 및 만두류,짬뽕,1000,687.62,100.59,28.17,19.18,3.38,4000.09,109.43,12.98,0.24,2009
188,면 및 만두류,쫄면,450,601.78,109.57,18.4,9.99,24.17,1346.42,55.33,1.9,0.09,2009
189,면 및 만두류,치즈라면,600,594.54,80,16.81,23.03,0.9,2113.4,103.67,9.39,0.25,2013
190,면 및 만두류,콩국수,800,666.82,112.02,31.03,10.51,4.69,944.59,31.26,4.3,0,2009
191,면 및 만두류,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.66,1,2011
192,면 및 만두류,토마토소스스파게티,500,642.59,93.21,24.35,19.15,15.6,1508.64,49.17,5.43,0.21,2011
193,면 및 만두류,해물칼국수,900,628.26,123.9,22.81,4.61,3.81,2355.07,26.7,1.3,0.01,2009
194,면 및 만두류,해물크림소스스파게티,500,917.57,86.97,30.4,49.79,8.35,1323.69,210.88,24.73,0.94,2011
195,면 및 만두류,해물토마토소스스파게티,500,584.44,87.25,27.98,13.73,13.48,1533.16,159.63,3.14,0.07,2011
196,면 및 만두류,호박 프리타타,246,302.06,12.28,25.73,16.73,0,234.88,0,0,0,2008
197,면 및 만두류,호박만두,146,210.15,34.37,6.1,4.82,0,149.58,0,0,0,2008
198,면 및 만두류,회냉면,550,629.98,122.01,17.75,7.89,24.35,1517.81,78.63,1.95,0.06,2009
199,죽 및 스프류,감자를 곁들인 야채스튜,165,87.04,14.77,3.32,2.46,0,30.13,0,0,0,2008
200,죽 및 스프류,검보스프,199,102.45,4.74,7.1,6.23,0,160.06,0,0,0,2008
201,죽 및 스프류,검은콩 스프,219,228.13,16.75,15.31,13.12,0,119.27,0,0,0,2008
202,죽 및 스프류,게살죽,800,564.83,107.34,17.9,7.1,0.17,1453.82,50.16,2.11,0.07,2010
203,죽 및 스프류,고구마 타락죽,332,362.81,37.32,7.14,21.48,0,160.92,0,0,0,2008
204,죽 및 스프류,깨죽,800,515.34,79.3,13.66,15.94,3.59,1160.18,0,2.82,0.01,2010
205,죽 및 스프류,단호박 두부 포타주,275,92.46,11.94,6.52,3.82,0,378.59,0,0,0,2008
206,죽 및 스프류,단호박 스프,200,102.08,15.98,3.08,3.86,0,45.7,0,0,0,2008
207,죽 및 스프류,닭죽(닭도가니)(성남),1000,1128.22,98.9,88.05,42.27,5,794.48,344.06,11.83,0.22,2016
208,죽 및 스프류,대구 크림 스튜,125,186.36,4.44,28.08,5.54,0,405.51,0,0,0,2008
209,죽 및 스프류,대추죽,110,132.25,29.3,2.95,0.86,0,1.55,0,0,0,2008
210,죽 및 스프류,백합죽,700,455.28,84.75,16.46,5.61,0,996.79,32.1,1.33,0.01,2016
211,죽 및 스프류,새우살을 채운 두부 스프(미네스트로네) 이탈리안 스프,200,117.32,6.06,13.86,4.66,0,361.36,0,0,0,2008
212,죽 및 스프류,소고기버섯죽,800,578.28,109.02,18.74,7.46,0.26,1261.8,26.08,2.72,0.14,2010
213,죽 및 스프류,송이 미역죽,150,135.75,25.6,4.24,2.44,0,309.17,0,0,0,2008
214,죽 및 스프류,쇠고기 스튜,239,99.5,5.9,11.71,3.39,0,244.83,0,0,0,2008
215,죽 및 스프류,어죽,800,552.06,100.82,20.38,7.48,9.78,2105.53,35.46,1.66,0,2016
216,죽 및 스프류,완두콩 스프,230,168.71,20.82,12.42,4.81,0,116.75,0,0,0,2008
217,죽 및 스프류,잣죽,700,874.48,155.27,19.18,19.63,2.36,878.82,0,1.99,0.24,2011
218,죽 및 스프류,전복죽,800,590.82,114.31,12.58,9.26,0.22,1309.46,28.47,1.79,0.05,2010
219,죽 및 스프류,차가운 당근스프,200,84.2,13.24,2.32,3.22,0,56.36,0,0,0,2008
220,죽 및 스프류,참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96,1.82,0.06,2011
221,죽 및 스프류,팥죽,600,498.06,97.81,18.43,3.68,1.69,1026.43,0,0.49,0.01,2009
222,죽 및 스프류,해산물을 곁들인 매콤한 토마토 스튜,197,122.16,6.76,16.29,3.49,0,337.99,0,0,0,2008
223,죽 및 스프류,호박죽,600,442.75,89.39,7.09,6.32,16.7,929.2,1.72,1.06,0.01,2009
224,죽 및 스프류,흑임자 두부 죽,160,164.14,23.55,7.04,4.77,0,2.14,0,0,0,2008
225,국 및 탕류,갈낙탕,400,261.77,0.84,35.79,12.8,1.28,847.98,209.08,5.8,0.43,2016
226,국 및 탕류,갈비탕,600,236.75,7.61,27.38,10.76,0,1717.54,112.25,2.86,0.16,2009
227,국 및 탕류,게국지,1100,415.25,31.7,44.91,12.09,10.77,4047.26,388.15,1.97,0.15,2016
228,국 및 탕류,고등어찌개,600,601.62,25.61,48.9,33.73,7.35,2584.06,156.05,7.06,0.31,2016
229,국 및 탕류,곰치국,1000,419.29,23.9,54.31,11.83,2.77,3802.06,476.47,1.36,0.13,2016
230,국 및 탕류,곰탕,700,579.61,7.35,70.13,29.97,0,822.77,197.94,7.97,0.75,2010
231,국 및 탕류,굴 두부 국,151,49.51,3.43,4.82,2.85,0,256.68,0,0,0,2008
232,국 및 탕류,김치국,100,19.84,2.33,1.21,0.63,0.65,364.91,0,0.07,0,2014
233,국 및 탕류,꼬리곰탕,700,765.79,4.63,102.31,37.56,0,765.74,251.92,9.81,1.04,2010
234,국 및 탕류,꽃게탕,600,238.39,18.09,28.39,5.83,1.32,2247.58,212.81,0.85,0.03,2016
235,국 및 탕류,낙지탕,600,187.8,10.38,29.36,3.2,1.94,1704.69,292.42,0.44,0.01,2016
236,국 및 탕류,"냉국, 미역오이냉국",100,17.64,3.25,0.51,0.29,2.15,320.79,0,0.02,0,2014
237,국 및 탕류,"냉국, 오이냉국",100,18.38,3.49,0.48,0.28,2.46,288.56,0,0.03,0,2014
238,국 및 탕류,달걀국,100,40.53,1.31,3.57,2.34,0.03,274.63,93.91,0.75,0.01,2014
239,국 및 탕류,닭곰탕,100,80.36,2.79,11.13,2.74,0.06,156.16,47.17,0.69,0.01,2013
240,국 및 탕류,대구지리탕,600,262.02,9.89,41.61,6.22,1.47,1476.25,283.09,1.1,0.08,2016
241,국 및 탕류,도가니탕,800,573.18,4.54,100.88,16.83,0,598.16,163.79,4.71,0.44,2010
242,국 및 탕류,도토리묵 콩국,156,61.11,7.38,3.87,2.2,0,257.01,0,0,0,2008
243,국 및 탕류,도토리묵말이,1300,462.38,89.69,6.85,8.48,6.34,3206.03,0,1.17,0,2016
244,국 및 탕류,된장국,166,49.38,3.52,8.3,0.32,0,44.92,0,0,0,2008
245,국 및 탕류,"된장국, 근대",100,22.77,2.18,1.87,0.73,0.42,328.84,0,0.08,0,2014
246,국 및 탕류,"된장국, 무",100,23.19,3.26,1.36,0.52,1.3,386.99,0,0.07,0,2014
247,국 및 탕류,"된장국, 시금치",100,30.66,2.68,2.51,1.1,0.23,344.2,0,0.1,0,2013
248,국 및 탕류,"된장국, 시래기",100,21.99,2.44,1.49,0.7,0.3,338.59,0,0.07,0,2014
249,국 및 탕류,"된장국, 쑥",100,27.57,2.69,1.91,1.02,0.29,341.13,0,0.1,0,2014
250,국 및 탕류,"된장국, 아욱",100,23.45,2.38,2.01,0.65,0.38,325.35,0,0.07,0,2014
251,국 및 탕류,"된장국, 왜된장국, 미소된장국",100,25.61,1.84,1.88,1.19,0.48,344.69,0,0.14,0,2013
